1e4 800 10
2e4 800 9.5
3e4 800 8.8
4e4 800 8.5
5e4 800 8
6e4 800 8
7e4 800 8
8e4 800 8
9e4 800 8
1e5 800 8
2e5 800 10
3e5 800 13
4e5 800 16
5e5 800 19
6e5 810 21
7e5 820 26
8e5 830 30
9e5 840 40
1e6 850 50
2e6 900 220
3e6 700 400
4e6 650 450
5e6 550 450
6e6 500 430
7e6 400 400
8e6 380 380
9e6 350 360
1e7 300 350
2e7 180 250
3e7 120 200
4e7 90 180
5e7 65 150
6e7 55 130
7e7 40 120
8e7 35 110
9e7 28 100
1e8 22 90
2e8 4.5 50
3e8 1.6 35
4e8 0.8 27
5e8 0.6 22
6e8 0.4 18
7e8 0.2 16
9e8 0.08 14
1e9 0.05 12
